Nº             REG,NOMBRE,DOMICILIO,nº,Capacidad,Estado,Disp nº,Fecha Disp. Inscripción,DIRECCION,Latitud,Longitud,BARRIO,COMUNA
3.0,REY CASTRO,PERU ,342,901 personas,RENOVADO 2024,4.0,2005-03-01,"PERU  342, Ciudad de Buenos Aires, Argentina",-34.61191039122008,-58.37469955794873,MONSERRAT,1
4.0,LA FRANCE,SARMIENTO ,1656,1372 personas,RENOVADO 2024,5.0,2005-03-01,"SARMIENTO  1656, Ciudad de Buenos Aires, Argentina",-34.60555625306122,-58.39009264897959,SAN NICOLAS,1
5.0,XSS,LAVALLE ,343,880 personas,RENOVADO 2023,6.0,2005-03-01,"LAVALLE  343, Ciudad de Buenos Aires, Argentina",-34.60193507142857,-58.3717847,SAN NICOLAS,1
10.0,WAK- MALUCO,SARMIENTO ,1728,1076 personas,RENOVADO 2023,11.0,2005-03-03,"SARMIENTO  1728, Ciudad de Buenos Aires, Argentina",-34.60563097142857,-58.39119248979592,SAN NICOLAS,1
11.0,XEL - HA,AV SAN MARTIN ,6628,692 personas,RENOVADO 2023,12.0,2005-03-03,"AV SAN MARTIN  6628, Ciudad de Buenos Aires, Argentina",-34.592957948979596,-58.507907791836736,VILLA DEVOTO,11
13.0,SUDACA,SARMIENTO ,1752,980 personas,RENOVADO 2023,18.0,2005-03-07,"SARMIENTO  1752, Ciudad de Buenos Aires, Argentina",-34.6056897,-58.3916853,SAN NICOLAS,1
14.0,MOLIERE,BALCARCE ,678,531 personas,RENOVADO 2023,19.0,2005-03-09,"BALCARCE  678, Ciudad de Buenos Aires, Argentina",-34.61554781433017,-58.37050754296341,MONSERRAT,1
17.0,GONG,AV. CÓRDOBA ,634,200 personas,RENOVADO 2023,20.0,2005-03-10,"AV. CÓRDOBA  634, Ciudad de Buenos Aires, Argentina",-34.598862051020404,-58.37590410612245,SAN NICOLAS,1
20.0,PALACIO ALSINA,ALSINA ,934,2140 personas,RENOVADO 2023,23.0,2005-03-10,"ALSINA  934, Ciudad de Buenos Aires, Argentina",-34.61070476122449,-58.37963129183674,MONSERRAT,1
21.0,NICETO CLUB ,NICETO VEGA ,5508,1118 personas,RENOVADO 2023,24.0,2005-03-10,"NICETO VEGA  5508, Ciudad de Buenos Aires, Argentina",-34.58727829299971,-58.4387210877553,PALERMO,14
22.0,CHANA CLUB,PIERINA DEALESSI,740,490 personas,RENOVADO 2023,25.0,2005-03-10,"PIERINA DEALESSI 740, Ciudad de Buenos Aires, Argentina",-34.605865791836735,-58.364365520408164,PUERTO MADERO,1
23.0,GLAM ,JOSE CABRERA ,3046,489 personas,RENOVADO 2023,26.0,2005-03-11,"JOSE CABRERA  3046, Ciudad de Buenos Aires, Argentina",-34.59703186734694,-58.40950456326531,RECOLETA,2
27.0,TABASCO,JOSÉ MARTÍ ,17,999 personas,RENOVADO 2023,30.0,2005-03-15,"JOSÉ MARTÍ  17, Ciudad de Buenos Aires, Argentina",-34.63182533469388,-58.472290267346935,FLORES,7
31.0,FRERE,OLLEROS ,1775,650 personas,RENOVADO 2023,34.0,2005-03-16,"OLLEROS  1775, Ciudad de Buenos Aires, Argentina",-34.56493831632653,-58.438267316326524,PALERMO,14
34.0,LATINO 11,ECUADOR ,60,1540 personas,RENOVADO 2023,37.0,2005-03-18,"ECUADOR  60, Ciudad de Buenos Aires, Argentina",-34.5988493,-58.40596185,BALVANERA,3
35.0,TEATRO FLORES,RIVADAVIA ,7802,1872 personas,RENOVADO 2023,38.0,2005-03-18,"RIVADAVIA  7802, Ciudad de Buenos Aires, Argentina",-34.6322536,-58.4746471,FLORESTA,10
43.0,CLUB ARÁOZ,ARAOZ ,2422,1030 personas,RENOVADO 2023,46.0,2005-03-23,"ARAOZ  2422, Ciudad de Buenos Aires, Argentina",-34.58645971020408,-58.41627374489796,PALERMO,14
48.0,MAZA CLUB,AV. RIVADAVIA ,3469,1270 personas,RENOVADO 2023,51.0,2005-04-01,"AV. RIVADAVIA  3469, Ciudad de Buenos Aires, Argentina",-34.61069214897959,-58.415317395918365,ALMAGRO,5
54.0,THE SHAMROCK,RODRIGUEZ PEÑA ,1220,396 personas,RENOVADO 2023,64.0,2005-05-18,"RODRIGUEZ PEÑA  1220, Ciudad de Buenos Aires, Argentina",-34.597354,-58.3929668,RECOLETA,2
60.0,RADIO STUDIO,O`BRIEN ,1232,3050 personas,RENOVADO 2023,72.0,2005-06-13,"O`BRIEN  1232, Ciudad de Buenos Aires, Argentina",-34.62907147153176,-58.38350454407012,CONSTITUCION,1
62.0,AMERIKA,GASCON  ,1036,2450 personas,RENOVADO 2024,84.0,2005-07-14,"GASCON   1036, Ciudad de Buenos Aires, Argentina",-34.59865689183674,-58.42359247346939,ALMAGRO,5
67.0,THE FLOWER,AGÜERO,445,405 personas,RENOVADO 2023,156.0,2005-11-18,"AGÜERO 445, Ciudad de Buenos Aires, Argentina",-34.604654861224496,-58.4118251,BALVANERA,3
68.0,LA PEÑA,AV. RIVADAVIA,1908,990 personas,RENOVADO 2023,159.0,2005-12-14,"AV. RIVADAVIA 1908, Ciudad de Buenos Aires, Argentina",-34.60942660612245,-58.3935949122449,BALVANERA,3
70.0,"VIRUS 10,1",RIVADAVIA,7523,216 personas,RENOVADO 2023,12.0,2006-02-21,"RIVADAVIA 7523, Ciudad de Buenos Aires, Argentina",-34.63107974693878,-58.47160241836735,FLORES,7
72.0,CROBAR,AV. LIBERTADOR,3883,2258 personas,RENOVADO 2023,57.0,2006-03-30,"AV. LIBERTADOR 3883, Ciudad de Buenos Aires, Argentina",-34.56973,-58.4207825,PALERMO,14
74.0,MÁGICO,AV. RIVADAVIA,10925,1320 personas,RENOVADO 2023,60.0,2006-04-04,"AV. RIVADAVIA 10925, Ciudad de Buenos Aires, Argentina",-34.638978748,-58.51768806,LINIERS,9
76.0,DORSIA,AV. ALICIA MOREAU DE JUSTO,2092,679 personas,RENOVADO 2023,65.0,2006-04-21,"AV. ALICIA MOREAU DE JUSTO 2092, Ciudad de Buenos Aires, Argentina",-34.62344047336869,-58.36466492764726,PUERTO MADERO,1
78.0,LA CITY,AV. ALVAREZ THOMAS,1391,940 personas,RENOVADO 2023,85.0,2006-06-23,"AV. ALVAREZ THOMAS 1391, Ciudad de Buenos Aires, Argentina",-34.5779538,-58.46154972477317,VILLA ORTUZAR,15
79.0,BRUJAS,JORGE LUIS BORGES,1640,264 personas,RENOVADO 2023,94.0,2006-07-17,"JORGE LUIS BORGES 1640, Ciudad de Buenos Aires, Argentina",-34.5883855375,-58.42984239583333,PALERMO,14
80.0,RUANO,AZCUENAGA,1775,254 personas,RENOVADO 2023,100.0,2006-08-11,"AZCUENAGA 1775, Ciudad de Buenos Aires, Argentina",-34.58890331020408,-58.39605562040816,RECOLETA,2
81.0,UNI CLUB,GUARDIA VIEJA,3360,630 personas,RENOVADO 2023,101.0,2006-08-11,"GUARDIA VIEJA 3360, Ciudad de Buenos Aires, Argentina",-34.602753534693875,-58.412240948979594,BALVANERA,3
86.0,ARENA SUR,AV. SAENZ,459,2346 personas,RENOVADO 2023,5.0,2007-02-23,"AV. SAENZ 459, Ciudad de Buenos Aires, Argentina",-34.64482146734694,-58.416299481632656,NUEVA POMPEYA,4
87.0,SEU ,AV. BOYACA ,28,186 personas,RENOVADO 2024,34.0,2007-03-16,"AV. BOYACA  28, Ciudad de Buenos Aires, Argentina",-34.62635435714285,-58.45708210816326,FLORES,7
88.0,KIKA,HONDURAS,5339,1100 personas,RENOVADO 2024,35.0,2007-03-16,"HONDURAS 5339, Ciudad de Buenos Aires, Argentina",-34.5862409,-58.4331131,PALERMO,14
94.0,PORTO SOHO,SCALABRINI ORTIZ,1425,604personas,RENOVADO 2023,96.0,2007-11-16,"SCALABRINI ORTIZ 1425, Ciudad de Buenos Aires, Argentina",-34.5851659,-58.4158912,PALERMO,14
96.0,VIPER,JURAMENTO ,1531,238 personas,RENOVADO 2023,104.0,2007-12-21,"JURAMENTO  1531, Ciudad de Buenos Aires, Argentina",-34.55689402307692,-58.44821845384615,BELGRANO,13
99.0,VOX,AV. HIPOLITO YRIGOYEN,968,532 personas,RENOVADO 2023,94.0,2008-11-07,"AV. HIPOLITO YRIGOYEN 968, Ciudad de Buenos Aires, Argentina",-34.60960613265306,-58.38007974693877,MONSERRAT,1
